,Title,Abstract,Venue,Year,Reference_Count,Citation_Count,Influential_Citation_Count,Open_Access,TLDR,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,fieldsOfStudy,Publication_Type
214,Men’s Oppressive Beliefs Predict Their Breast Size Preferences in Women,,Archives of Sexual Behavior,2013,84,41,3,True,"{'model': 'tldr@v2.0.0', 'text': 'British White men from the community in London, England viewed figures of women that rotated in 360° and varied in breast size along five levels and rated the figure that they found most physically attractive and completed measures assessing their sexist attitudes and tendency to objectify women.'}",214,3298993,V. Swami,2996565,M. Tovée,,,,,,,,,"Psychology, Medicine",JournalArticle
215,Perceptions and attitudes to sexual harassment: an examination of sex differences and the sex composition of the harasser–target dyad,"This study examines the role of sex in determining attitudes toward sexual harassment (SH) and perceptions of SH, and studies the extent to which attitudes toward SH predict perceptions of SH by sex. All informants (146 men and 160 women) completed three questionnaires: personal information; perceptions of SH, including cases with variations on the perpetrators and victims' sex; and attitudes toward SH, with a male, female, or unspecified victim. The findings point to significant sex differences in the perception of behaviors as SH. Women were less tolerant of SH regardless of the victim's sex. In all cases, less tolerant attitudes toward SH predicted a stronger perception of behaviors as manifesting SH. In addition, women tended to perceive male harasser/male target behaviors as SH more than men.",,2013,40,41,0,False,,215,116846852,Mally Shechory Bitton,2050775068,Danit Ben Shaul,,,,,,,,,Psychology,
216,"GAP-REACH: A Checklist to Assess Comprehensive Reporting of Race, Ethnicity, and Culture in Psychiatric Publications","Abstract Growing awareness of health and health care disparities highlights the importance of including information about race, ethnicity, and culture (REC) in health research. Reporting of REC factors in research publications, however, is notoriously imprecise and unsystematic. This article describes the development of a checklist to assess the comprehensiveness and the applicability of REC factor reporting in psychiatric research publications. The 16-item GAP-REACH© checklist was developed through a rigorous process of expert consensus, empirical content analysis in a sample of publications (N = 1205), and interrater reliability (IRR) assessment (N = 30). The items assess each section in the conventional structure of a health research article. Data from the assessment may be considered on an item-by-item basis or as a total score ranging from 0% to 100%. The final checklist has excellent IRR (&kgr; = 0.91). The GAP-REACH may be used by multiple research stakeholders to assess the scope of REC reporting in a research article.",Journal of Nervous and Mental Disease,2013,47,18,3,True,"{'model': 'tldr@v2.0.0', 'text': 'The development of a checklist to assess the comprehensiveness and the applicability of REC factor reporting in psychiatric research publications and has excellent IRR.'}",216,1397963340,R. Lewis‐Fernández,5765731,Greer Raggio,8502016,M. Gorritz,143704204,N. Duan,40346629,S. Marcus,6559490,Leopoldo J. Cabassa,"Medicine, Psychology",JournalArticle
217,Hetero-sexy self/body work and basketball: The invisible sporting women of British Pakistani Muslim heritage,"Muslim women's personal relationship with the body beneath and beyond the veil has received little attention, especially in the sporting literature. Instead, talk of sporting Muslim women has been more frequently animated around a monolithic Orientalist narrative that sensationalises the veil, and asserts the oppression of Islamic thinking on gender equality and female sexuality. Similarly, discussions of South Asian Muslim women's participation in sport have been more routinely informed by ethnocentric stereotypes about the ‘passive Asian woman’. In this paper I engage postcolonial feminist thinking to move beyond uncritical dichotomous re/presentations that have systematically denied diverse sporting Muslim women an identity or bodily presence outside of the discursive identity of the veil. I focus on British Muslim Pakistani women who play basketball, and explore the multifarious, dynamic ways in which these women negotiate and perform various discourses pertaining to idealised yet dramaturgical notions of ‘hetero-sexy’ femininity on and off the court. By drawing the fe/male ocular away from the visual aesthetics of the veil and Islamic theocracy in shaping their engagement in sport, I seek to unveil something more personal about the relationship these sporting Muslim women have with the body that they own and an identity which they are actively carving out.",,2013,58,27,1,False,,217,114548960,S. F. Samie,,,,,,,,,,,Sociology,
218,Manifestations of Heterosexism in Icelandic Upper Secondary Schools and the Responses of LGBT Students,"How does institutionalized heterosexism manifest itself in Icelandic upper secondary schools and how do lesbian, gay, bisexual, and transgender (LGBT) students respond to these manifestations? In addressing these questions, interviews were conducted with six current and former LGBT upper secondary school students, using queer theory and thematic analysis. It is argued that institutionalized heterosexism prevails in the structure and culture of the schools under investigation, although to varying degrees. LGBT youth experienced institutionalized heterosexism daily in their dealings with faculty and fellow students. The LGBT students who were interviewed responded to the oppressive nature of institutionalized heterosexism in various ways. Some tried to resist the system actively while others did so more subtly. In general, their stories can be interpreted as having destabilizing effects on the heterosexual system.",,2013,70,26,0,False,,218,114057236,Jón Ingvar Kjaran,74165208,I. A. Jóhannesson,,,,,,,,,Sociology,
219,Gender Role Conflict Research 30 Years Later: An Evidence-Based Diagnostic Schema to Assess Boys and Men in Counseling,"In 1981, a special issue on counseling men was published in the Journal of Counseling & Development (Scher, 1981). The special issue established, for the first time in the counseling profession, that restrictive gender roles can cause negative psychological consequences for men. In one article, ""Patterns of Gender Role Conflict and Strain: Sexism and Fear of Femininity in Men's Lives (O'Neil, 1981b),"" a conceptual model depicted six patterns of men's gender role conflict (GRC) resulting from restrictive gender roles. Over the years, this model helped counselors conceptualize men's gender role problems (O'Neil, 1981 a, 1990, 2006, 2008, 2010). The article's main point was that GRC can be psychologically dysfunctional for all people, and empirical research is needed to assess whether this assumption is a reliable fact. Furthermore, the article recommended that empirical research should assess whether the patterns of GRC in the conceptual model correlated with negative psychological outcomes for men. From 1981 to 1983, the Gender Role Conflict Scale (GRCS) was empirically developed to assess whether GRC is associated with men's psychological and interpersonal problems. Using factor analyses, four patterns of GRC were empirically derived. The GRCS was subsequently published in the journal Sex Roles (O'Neil, Helms, Gable, David, & Wrightsman, 1986) and became one of the early and subsequently most used measures of men's gender role problems. This article summarizes what is currently known about men's GRC, over 30 years after the first model was published (O'Neil, 1981b). It differs from past reviews (O'Neil, 2008, 2010; O'Neil, Good, & Holmes, 1995) by focusing on research that informs therapeutic practice with men. A diagnostic schema is presented to assess men's GRC in the contexts of gender role devaluations, restrictions, and violations. The studies from the GRC research program that supports this diagnostic schema are summarized. Recommendations are made for using this evidenced-based schema and empowering men to develop a more positive and healthy masculinity. Definitions and GRC Paradigm An extensive and full definition of GRC is beyond the scope of this article and can be found elsewhere (O'Neil, 2008, 2010; O'Neil, Good, & Holmes, 1995; O'Neil, Helms, Gable, David, & Wrightsman, 1986). GRC is defined as a psychological state in which socialized gender roles have negative consequences for the person or others. GRC occurs when rigid, sexist, or restrictive gender roles result in restriction, devaluation, or violation of others or self (O'Neil et al., 1995). The ultimate outcome of GRC is the restriction of a person's human potential or the restriction of another person's potential. GRC can be experienced intrapersonally (within self) or interpersonally when it is expressed toward others or when it is caused by others. For men, the personal experience of GRC represents the negative consequences of conforming to, deviating from, or violating the gender role norms of masculinity ideology. Three personal experiences of GRC are gender role devaluations, gender role restrictions, and gender role violations. GRC is operationally defined by four psychological domains and numerous situational contexts (O'Neil, 2008, 2010). The domains, contexts, and experience of GRC represent the complexity of GRC in people's lives. Figure 1 shows the major concepts in the GRC paradigm. In the center of Figure 1, men's gender role socialization and the masculinity ideology and norms are shown as conceptually related to men's fear of femininity. Masculinity ideology and norms are primary values and standards that define, restrict, and negatively affect boy's and men's lives. Reviews of the masculinity ideology studies (Levant & Richmond, 2007; O'Neil, 2010; O'Neil & Crapser, 2011) indicate that restrictive ways of thinking about masculine norms are significantly correlated with men's psychological problems and interpersonal conflicts. …",,2013,10,59,6,False,,219,1420053690,J. O’Neil,,,,,,,,,,,Psychology,Review
220,Putting The Body Shop in its Place: A Studio-based Investigation into the New Sites and Sights of Organization as Experience,"Locating organizations is a difficult task, making it difficult to study them and difficult to represent that study. There is no single phenomenon of organization. We identify them through their buildings, brands, products, employees, customers, marketing materials, legal status and so on, but it is hard to identity a single unified entity. This research note argues that organization lies in our encounters with it, that is, our experience of organization which constitutes its existence. In order for scholars of organization to be able to say anything about these experiences we need a methodology designed to capture experience. The work of John Dewey is useful here with his insistence on art as experience. This note takes Dewey’s work on art and applies it to a particular case example – The Body Shop International – and demonstrates how organization studies can be enhanced through an arts or studio-based approach. Indeed, it argues, along with Dewey, that any civilized community of practice might be expected to produce art, and that the organization studies community should welcome an arts practice as a sign of its own maturity.",,2013,24,17,1,False,,221,118253188,Ayse Burcin Erarslan,38547940,B. Rankin,,,,,,,,,Psychology,
221,Gender Role Attitudes of Female Students in Single-Sex and Coeducational High Schools in Istanbul,,,2013,61,25,3,True,,222,113358489,Jeffery M. Frank,,,,,,,,,,,Sociology,JournalArticle
222,Mitigating Against Epistemic Injustice in Educational Research,"In this article, I argue that Harvey Siegel correctly points out the limitations of epistemic diversity in educational research. Building from Siegel’s analysis, I argue that we need to move away from the language of epistemic diversity and to the language of epistemic injustice. Epistemic injustice allows us to do the work that epistemic diversity sets out to do—that is, creating more inclusive epistemic practices that lead to more accurate descriptions of the world—without leading to the untenable and unjustified conclusions that follow from using the language of epistemic diversity. Drawing on recent work in feminist epistemology, I describe epistemic injustice and argue for its significance. I conclude by drawing out the implications of epistemic injustice for educational researchers.",,2013,32,47,8,False,,223,71234691,Marcel Stoetzler,97475788,Christine Achinger,,,,,,,,,Sociology,
223,"German modernity, barbarous Slavs and profit‐seeking Jews: the cultural racism of nationalist liberals","This paper examines emblematic texts by two important protagonists of post-1848 liberalism in Germany, Gustav Freytag and Heinrich von Treitschke, focusing on their treatment of Jews and Poles. The paper analyses the social content of their statements and argues that the elements of anti-Semitism and anti-Slav racism that they contain were motivated by the specific kind of nationalist liberalism that frames their affirmation of the process of modernisation. This affirmation was directed against the Poles on the one hand, seen as backward Easterners who had to be pushed into civilisation by Prussian–German colonialism, and, on the other hand, the Jews, largely perceived as representing the wrong kind of modernity against which benign (supposedly German) modernity had to be protected. At the same time, the image of the Jew in Freytag and Treitschke also participates in that of the backward Easterner, permitting to see undesirable, allegedly Jewish aspects of modernity also as distortions resulting from an alien and ancient culture. This analysis has consequences for theorisations of both liberalism and nationalism: it suggests that the racism and anti-Semitism of nationalist liberals were intrinsically related to core aspects of the liberal world-view rather than being merely contingent opinions held by particular individuals. It also indicates that the nationalism of many German post-1848 liberals was ethnic as well as liberal. In this way, the paper contributes to the growing body of literature discussing the illiberal aspects of liberalism as well as the shortcomings of the long-established conceptual dichotomy of ethnic vs. liberal nationalism.",,2013,42,2,0,False,,224,104670523,D. Waldo,104058499,W. Berns,,,,,,,,,,Review
224,"Book Reviews, Notes and Bibliography title page and contents","REVIEWS OF BOOKS Cowling, The Nature and Limits of Political Science; Runciman, Social Science and Political Theory. DWIGHT WALDO 403 Friedrich and Chapman, Nomos VI: Justice. WALTER BERNS 404 De Grazia, Of Time, Work and Leisure. HAROLD D. LASSWELL 405 Greer, Metropolitics: A Study of Political Culture. THEODORE J. LOWI 406 Guttsman, The British Political Elite; Cline, Recruits to Labour: The British Labour Party, 1914-1931. RICHARD ROSE 408 Rabinowitch, The Dawn of a New Age: Reflections on Science and Human Affairs. SANFORD A. LAKOFF 409 Snyder, Bruck and Sapin, Foreign Policy Decision Making: An Approach to the Study of International Politics; Knorr and Verba, The International System: Theoretical Essays. ERNST B. HAAS 410",American Political Science Review,1964,0,0,0,False,,225,2080903662,Catherine Esnard,46990422,Rafaele Dumas,,,,,,,,,Psychology,
225,"Perceptions of male victim blame in a child sexual abuse case: effects of gender, age and need for closure","According to the gender stereotypes attributed to men, and research on adult male victims, boys subjected to sexual abuse are expected to be better able to defend themselves than girls, and are thought to be more likely to adopt a proactive attitude in the victim–perpetrator relationship. They are consequently regarded as more blameworthy than female victims. In the present study, 384 French respondents read through a sexual abuse scenario in which the child victim's gender, perpetrator's gender and victim's age (7 vs. 12 years old) were manipulated. As expected, male respondents blamed the victim more than female respondents did, especially when the victim was a boy. Furthermore, male respondents blamed the perpetrator less than female respondents did, especially when the perpetrator was a woman and the victim a boy. However, these effects were observed for victims of both 7 and 12 years old while it was expected only for the 12-year-old victims. Finally, as expected, respondents who expressed a high need for closure perceived the victim as less credible and more guilty than respondents who expressed a low need for closure, particularly when the victim was 12 years old. This cognitive characteristic thus appears to moderate the expression of stereotypical representations.",,2013,95,24,2,False,,226,11502039,J. L. Sinden,,,,,,,,,,,Sociology,
226,The sociology of emotion in elite sport: Examining the role of normalization and technologies:,Recent research has examined the role of negative emotion norms and elite athletes’ decisions to continue to train in sport when they are not physically healthy enough to do so. According to Lee Si...,,2013,48,17,2,False,,227,104100242,Katrine Fangen,82570151,Erlend Paasche,,,,,,,,,Sociology,JournalArticle
227,Young adults of ethnic minority background on the Norwegian labour market: The interactional co-construction of exclusion by employers and customers,"Labour market participation is commonly conceptualized as an indicator of immigrant integration, although integration is not something that should be conflated with inclusion. The mere fact of employment is no silver bullet. The sociology of work needs to consider experiences of exclusion both before and after entry to the labour market. This article is based on a 25-case selection of 50 in-depth interviews that we conducted with young adults of ethnic minority background in Norway. We analyse their experiences of, and reactions to, exclusion in the labour market. While for several interviewees the possibility of being met with ethnic prejudice from employers looms large, more experiences of this sort were reported among interviewees engaged in customer contact, where the inside of an organization intersects with the outside world.",,2013,55,19,0,False,"{'model': 'tldr@v2.0.0', 'text': 'While for several interviewees the possibility of being met with ethnic prejudice from employers looms large, more experiences of this sort were reported among interviewees engaged in customer contact, where the inside of an organization intersects with the outside world.'}",228,2116028837,Curtiss S. Johnson,2850629,M. Heath,2072383792,Benjamin M. Bailey,2356819,S. Coyne,34788421,Niwako Yamawaki,3932418,D. Eggett,Psychology,
228,Adolescents’ Perceptions of Male Involvement in Relational Aggression: Age and Gender Differences,"This study compared age and gender differences in adolescents' perceptions of male involvement in relational aggression (RA). After viewing two of four video clips portraying RA, each participating adolescent (N = 314; Grades 8−12) answered questions related to rationalizing bullying behaviors—specifically minimizing bullying, blaming victims, and excusing bullies. Although age differences were not detected, differences in male and female perceptions were noted. Although males were more likely to minimize the impact of RA, both males and females particularly minimized the impact of male-to-male homophobic RA. In comparison to males, females expressed more sympathy for male victims and perceived bystanders as enjoying RA. Implications for bullying prevention/intervention efforts include giving greater consideration to the differences between male and female perceptions of RA; directly focusing on adolescents’ rationalizations for tolerating/condoning male homophobic bullying; and expanding beyond the bully–victim dyad to consider the broader social context surrounding bullying.",,2013,69,14,1,False,,229,9578716,Â. B. Costa,8484506,Rodrigo Oliva Peroni,1388646217,D. Bandeira,46507539,H. Nardi,,,,,"Sociology, Medicine","Review, JournalArticle"
229,Homophobia or sexism? A systematic review of prejudice against nonheterosexual orientation in Brazil.,"Since it was coined in the 1970s, in the United States, the term ""homophobia"" has been invoked to define the prejudice against nonheterosexual orientation. Besides the US, the phenomenon has been detected in many contemporary societies, including Brazil. Prejudice against nonheterosexual orientation is strongly associated with the historical and social contexts in which it is embedded, which means that the term should not be used without a clear definition of its local specificities. This applies to the recent debate around homophobia in the Brazilian context. In an attempt to identify existing studies of prejudice against nonheterosexual orientations in Brazil, a systematic review was conducted in SciELO indexes, PubMed, PsycINFO, SCOPUS, and Web of Science. The articles were collected using the keyword ""homophobia"" and related terms, and ""Brazil"", in the languages of the databases. The search returned 355 articles. Of these, 247 were removed because they were duplicates. The abstracts of 109 studies published between 1973 and 2011were analyzed. Thirty-one articles were identified as relevant. The reviewed studies indicate that prejudice against nonheterosexual orientations is an evident and widespread phenomenon that is prevalent in various populations and contexts. Nevertheless, prejudice in Brazil is not homogeneous, and particular attention is necessary to the inequality of gender relations (sexism) and prejudice against gender nonconformity, which seem to explain, if not cause, most of the prejudice against nonheterosexual orientations. Although theoretically there is a clear distinction between sexual orientation and gender expression, from the standpoint of manifestation of prejudice that distinction seems to be more tenuous.",International Journal of Psychology,2013,48,55,1,False,"{'model': 'tldr@v2.0.0', 'text': 'It is indicated that prejudice against nonheterosexual orientations is an evident and widespread phenomenon that is prevalent in various populations and contexts, Nevertheless, prejudice in Brazil is not homogeneous, and particular attention is necessary to the inequality of gender relations and prejudice against gender nonconformity, which seem to explain, if not cause, most of the prejudice.'}",230,153556288,M. Navarro,150220411,Marta Martín,,,,,,,,,Art,
230,Análisis bibliométrico de la investigación sobre mujer y publicidad: diferencias en medios impresos y audiovisuales Bibliometric Analysis of Research on Women and Advertising: Differences in Print and Audiovisual Media,"RESUMEN Los medios de comunicacion en general, y la publicidad en particular, son considerados importantes agentes de socializacion, incluso en temas relacionados con el genero. No en vano el legislador se ha preocupado por la regulacion de las imagenes de mujeres y hombres trasmitidas en los anuncios. Sin embargo, las normativas que prohiben la publicidad sexista en Espana prestan especifica atencion a los medios audiovisuales en detrimento del resto. En este escenario, el objetivo del presente trabajo es comprobar si este dispar interes segun soporte se reproduce en la investigacion. Asi, se consideran las diferencias en la produccion cientifica (nacional e internacional) sobre el sexismo publicitario en funcion del medio de comunicacion observando especificamente la metodologia, las tecnicas y la forma concreta de medir este concepto en los articulos. Para ello se realizo una revision sistematica de los estudios sobre publicidad y genero publicados en espanol o en ingles entre 1988 y 2010 indexados en siete importantes bases de datos ‐espanolas (Dialnet, Compludoc, Isoc) e internacionales (Scopus, Sociological Abstracts, PubMed y Eric)‐. A partir del analisis de los 175 textos seleccionados, los resultados apuntan que, a diferencia de los controles legislativos, la academia ha estudiado mayoritariamente el sexismo publicitario en los medios impresos, aunque el interes por el analisis del tratamiento de genero en los discursos publicitarios audiovisuales parece irse acrecentando.",,2013,23,9,0,True,,231,32047738,Crystal L. Hoyt,46805047,J. Burnette,,,,,,,,,"Psychology, Medicine",JournalArticle
231,Gender Bias in Leader Evaluations,"This research extends our understanding of gender bias in leader evaluations by merging role congruity and implicit theory perspectives. We tested and found support for the prediction that the link between people’s attitudes regarding women in authority and their subsequent gender-biased leader evaluations is significantly stronger for entity theorists (those who believe attributes are fixed) relative to incremental theorists (those who believe attributes are malleable). In Study 1, 147 participants evaluated male and female gubernatorial candidates. Results supported predictions, demonstrating that traditional attitudes toward women in authority significantly predicted a pro-male gender bias in leader evaluations (and progressive attitudes predicted a pro-female gender bias) with an especially strong effect for those with more entity-oriented, relative to incrementally oriented person theories. Study 2 (119 participants) replicated these findings and demonstrated the mediating role of these attitudes in linking gender stereotypes and leader role expectations to biased evaluations.",Personality and Social Psychology Bulletin,2013,76,86,2,False,"{'model': 'tldr@v2.0.0', 'text': 'Support is found for the prediction that the link between people’s attitudes regarding women in authority and their subsequent gender-biased leader evaluations is significantly stronger for entity theorists (those who believe attributes are fixed) relative to incremental theorists (someone who believes attributes are malleable).'}",232,4965568,L. Long,4654659,S. Ullman,,,,,,,,,Medicine,JournalArticle
232,The Impact of Multiple Traumatic Victimization on Disclosure and Coping Mechanisms for Black Women,"The experiences and impact of sexual victimization are often complex, with recent research suggesting the need for deeper consideration of how sexual assault coupled with additional stressors may affect Black women’s disclosure of sexual assault and their coping strategies. Utilizing Black feminist criminology as a theoretical framework, we conducted a narrative case analysis of qualitative interviews with nine Black women to understand how multiple traumatic events impact their disclosure and coping patterns. The findings of this study show the need for scholars and policy makers to address these unique issues faced by Black women.",,2013,74,31,4,False,"{'model': 'tldr@v2.0.0', 'text': 'A narrative case analysis of qualitative interviews with nine Black women to understand how multiple traumatic events impact their disclosure and coping patterns of sexual assault.'}",233,1455004950,Stamatios Papadakis,,,,,,,,,,,Sociology,Review
233,Advances in Mobile Learning Educational Research (A.M.L.E.R.): Mobile learning as an educational reform,"The journal Advances in Educational Research and Evaluation is a peer-reviewed openaccess journal aimed to be a medium for discussing a wide range of international educational experiences and assessment techniques. The journal intends to publish high-quality articles, the scope of which includes but is not limited to topics mentioned in this editorial. With the support of an international team of educational scholars who kindly volunteered to serve on the editorial board, the journal is set to adhere to the highest publishing ethics standards.",Advances in Mobile Learning Educational Research,2021,26,36,1,True,,234,49775582,Ran Zhang,,,,,,,,,,,Psychology,
234,Employee Gender vs. Supervisor Gender: Gender Interaction Effects in Employees’ Upward Influence Behavior in Hotels,"This study examined gender interaction effects in employees’ use of upward influence tactics. Employee and supervisor genders were paired up in a 2 × 2 design containing four cells. Data were collected from 108 employees in a Dutch hotel. Hypotheses were tested using both the traditional ANOVAs and the more robust Orthogonal Contrasts Approach. Results showed gender interaction effects existed in hard influence tactics. Specifically, assertiveness was used the least by female employees on male supervisors, and coalition was used the most by male employees on female supervisors. Theoretical and practical implications of the findings were discussed.",,2013,56,6,1,False,,235,119168230,L. Clevenger,48767599,Neha Singh,,,,,,,,,Business,
235,Exploring Barriers That Lead to the Glass Ceiling Effect for Women in the U.S. Hospitality Industry,"Women have played an integral role in the workforce throughout history; however, they have been dramatically underrepresented in upper management. The hospitality industry is recognized for its importance to many national economies, including that of the United States. In recent years, the increased number of women in the U.S. hospitality industry and their underrepresentation in top management positions has made their status in the industry a great concern. What is limiting women from breaking the glass ceiling effect in the hospitality industry? This study explores the barriers that could lead to the glass ceiling for women in the U.S. hospitality industry.",,2013,55,50,5,False,,236,118403447,Nancy A. Rodenborg,12702450,Laura Boisen,,,,,,,,,Psychology,Review
236,Aversive Racism and Intergroup Contact Theories: Cultural Competence in a Segregated World,"The United States remains highly segregated, and social work students are likely to live and work in segregated contexts. What implications does this have for their cultural competence? Does segregation affect social workers' ability to serve diverse clients without bias? This article reviews two social psychology theories, aversive racism and intergroup contact, for use by social work educators. Together, these theories suggest both the likelihood of social worker prejudice within a context of segregation and an evidence-based method for improvement. The article concludes by offering strategies for incorporating both theories in cultural competence education.",,2013,86,32,4,False,,237,114576822,Chien‐Cheng Chen,2115402482,Hsien-Wen Chen,49415945,Ying Lin,,,,,,,Psychology,
237,The Boundaries of Effects on the Relationship between Interviewer Moods and Hiring Recommendation,"Past research has found that interviewers' positive and negative moods could influence their evaluations of applicants. This study extends previous research by examining the moderating roles that interview structure and accountability played in the effects of interviewer moods on interviewer recommendation. Results from 105 interviewers in actual employment interviews for job openings partially support the hypotheses and indicate that the more structured the interview, the weaker the relationship between interviewer negative moods and hiring recommendation. In addition, when the interviewer's perceived accountability was relatively high, the influence of interviewer positive moods on hiring recommendation was minimised.",,2013,54,3,0,False,,238,145079367,P. Escudero,48936384,Rachel A Robbins,39852175,Scott P. Johnson,,,,,,,"Psychology, Medicine",JournalArticle
238,Sex-related preferences for real and doll faces versus real and toy objects in young infants and adults.,,Journal of Experimental Child Psychology,2013,27,25,1,True,"{'model': 'tldr@v2.0.0', 'text': 'Claims of an innate basis for sex-related preferences for toy real stimuli are challenged and it is suggested that sex- related preferences result from maturational and social development that continues into adulthood.'}",239,2144448237,Chao Wang,119425314,Arthur Sweetman,,,,,,,,,Medicine,JournalArticle
239,"Gender, family status and physician labour supply.",,Social Science & Medicine (1967),2013,31,42,2,False,"{'model': 'tldr@v2.0.0', 'text': 'There is no gender difference in physician market labour supply after controlling for family status and demographics in the Canadian labour market.'}",240,145055147,Karen J. Pierce,117316010,T. D. Englebrecht,143971474,Wei-Chih Chiang,,,,,,,"Political Science, Psychology",Review
240,Taxpayers’ Perceptions and Gender Effects on the Innocent Spouse Equitable Relief Provisions ☆ ☆Data Availability: Please contact the corresponding author.,"Abstract 
This study examines whether Revenue Procedure 2003-61 is an improvement over Revenue Procedure 2000-15, in the areas of taxpayers’ expectations for IRS equitable relief decisions and gender-related in-group bias. The survey instrument includes a vignette adapted from a judicial decision. The results show that Rev. Proc. 2003-61 does improve upon Rev. Proc. 2000-15. Furthermore, taxpayers perceive different expectations of what the IRS should do and what the IRS would do in equitable relief decision making. Also, gender-related in-group biases are found to be present for both genders. Tax policy implications regarding equitable relief are discussed.",,2013,39,5,1,False,,241,2105527338,R. Francis,,,,,,,,,,,Sociology,
241,"In pursuit of union leadership: Mary Bluett and Susan Hopgood and the Victorian Secondary Teachers Association, 1973-95","This article focuses on Mary Bluett's and Susan Hopgood's paths to leadership in the Victorian Secondary Teachers Association (VSTA) during the period 1973-95. It considers their role as activists in the transformation of a union and an occupation, which was to have far-reaching effects on the wider society through the state education system. The circumstances that propelled them into union activism are examined as well as a consideration of the importance of their family background, the commitment to social justice and their exposure to feminism from an understanding of the power structures in society. Their collective and strategic approach was developed in the women's caucus, the Open Sub-Committee on Women (OSCW) which was established in 1974 in the face of strong opposition within the union. The development of the union's affirmative action policy provided women such as Bluett and Hopgood with the opportunity to reach positions of leadership in the VSTA and later in the Australian Education Union (AEU) at both branch and national level.",,2013,3,0,0,False,,242,13577000,B. Hillman,,,,,,,,,,,Sociology,
242,“The Clothes I Wear Help Me to Know My Own Power”: The Politics of Gender Presentation in the Era of Women’s Liberation,,,2013,105,15,2,False,,243,1717731,M. Cardella,32279432,G. Svarovsky,70433627,Brianna L Dorie,,,,,,,Sociology,
243,Gender Research on Adult-child Discussions within Informal Engineering Environments (GRADIENT): Early Findings,"Exploring the gender differences in how children develop early interest and understanding in engineering can provide useful information for the ongoing efforts to address the low numbers of women who pursue engineering careers. By the time girls reach middle school, they are already much less likely to be interested in STEM careers than boys are, especially for fields that are math-intensive such as physics and engineering. This lack of interest has been connected to a narrow and often inaccurate view of the engineering profession and the perceived misalignment between what engineers do and what girls value in future careers. Informal learning environments can play a pivotal role in inspiring today’s youth to pursue careers in STEM. These contexts have been shown to be powerful and transformative settings in which young people can begin to cultivate lifelong interest in –and understanding of – a broad range of STEM topics. Moreover, informal learning environments often allow for parents and children to collaboratively engage in STEM learning, which may be particularly important in fields like engineering where parents have been shown to play a critical role in career choice. The purpose of the Gender Research on Adult-child Discussions within Informal ENgineering environmenTs (GRADIENT) study is to explore gender differences in the development of early engineering interest and understanding. In particular, the project closely examines parent-child conversation within a range of informal engineering contexts that exist at the intersection of parents, children, and meaningful STEM learning. In this study we examine a pre-school program where parents and children can play with engineering-focused toys, a family-oriented engineering event for elementary students and their parents, and an engineering exhibit within a science museum. This paper focuses on the first setting, the pre-school program where parents and children play with toys to engage in engineering-related activities. Drawing from the literature on both engineering education and informal science education, video-recordings from 30 daughter-parent dyads are analyzed for informal engineering learning in two ways. First, we investigate the parent-child discussions that occur during engineering activity using the lens of Islands of Expertise, a theory developed by Crowley and Jacobs (2002) that suggests short instances of explanatory talk between parents and children within informal environments can form lasting linkages between interest and understanding over time. Second, we investigate specific engineering behaviours exhibited by the parent-child dyads. Preliminary findings suggest that both parents and children re-frame the design task that is given to them to add more context to the task. Iteration varies widely across the parent-child dyads, and examples of optimization also vary across the parent-child dyads. These findings provide insights into how what engineering thinking might look like for young children (aged 4-6 years) as well as insights into the types of engineering-related activities that may be engaging for young girls.",,2013,34,16,0,True,,244,2080702491,C. Ario,,,,,,,,,,,,Review
244,"Recent Books and Journals Articles in Public Opinion, Survey Methods, Survey Statistics, Big Data, Data Science, and User Experience Research. 2020 Update","Welcome to the 13th edition of this column on recent books and journal articles in the field of public opinion, survey methods, survey statistics, Big Data, data science and user experience research. After a hiatus due to the pandemic which affected my productivity, I am publishing this 2020 update. Special issues of journals have a space in this article because, in my view, they are like edited books. I also added review papers from the journal series of Annual Reviews because these papers are seminal state of the art writeups, a mini book, if you wish on a specific subject.",Survey Practice,2021,46,0,0,True,"{'model': 'tldr@v2.0.0', 'text': 'Welcome to the 13th edition of this column on recent books and journal articles in the field of public opinion, survey methods, survey statistics, Big Data, data science and user experience research.'}",245,2150203248,L. Hong,2183024298,Xiangyu He,2183007026,Lian Xue,2183096684,Lingfeng Guo,2109275827,Wenli Liu,,,,
245,Comprehensive Sexuality Education Improves Primary Students’ Explicit and Implicit Attitudes Toward Homosexuality,"Abstract Comprehensive sexuality education (CSE) is a curriculum-based process that is inclusive to gender and sexual orientation. We used the attitude toward homosexuality scale and the single category implicit association test (SC-IAT) to measure differences between explicit and implicit attitudes toward homosexuality between migrant children with 6 years CSE learning experience (experimental group, N = 70) and those without (control group, N = 80). We found that the experimental group had more positive explicit and implicit attitudes toward homosexuality than the control group. In conclusion, CSE is a useful process for improving the explicit and implicit attitudes of migrant children toward homosexuality.",International Journal of Sexual Health,2022,91,1,0,False,,246,87267868,A. Razali,67114558,N. Razali,,,,,,,,,Psychology,
