,abstract,prism:coverDate,prism:aggregationType,subtypeDescription,prism:publicationName,source-id,citedby-count,prism:volume,title,openaccess,openaccessFlag,prism:doi,dc:publisher,venue,year,referenceCount,influentialCitationCount,tldr,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,author_1_paperCount,author_1_citationCount,author_1_hIndex,author_2_paperCount,author_2_citationCount,author_2_hIndex,author_3_paperCount,author_3_citationCount,author_3_hIndex,author_4_paperCount,author_4_citationCount,author_4_hIndex,author_5_paperCount,author_5_citationCount,author_5_hIndex,author_6_paperCount,author_6_citationCount,author_6_hIndex,fieldsOfStudy
663,"© 2020 The Author(s).Introduction: Alcohol consumption is associated with domestic violence, but the extent that binge-drinking and the household role of drinkers strengthens this association is unknown. We assessed the extent that binge-drinking behavior and the household role of the drinker were associated with alcohol-related domestic violence. Methods: We analyzed data from a nationally-representative census survey of 36,364 households in Thailand, of whom 17,759 households had one or more drinkers (n = 17,759 households). We aggregated the interview data of individuals living in the same households to create household-level attributes. We used multivariate log-binomial regression analyses to calculate prevalence ratios (PR) and measure the association between drinking behavior of household members and reported domestic violence during the previous 12 months. Results: Among households with one current drinker, households with a binge-drinker had higher prevalence of reported domestic violence than households where the drinker did not binge (Adjusted PR = 7.13; 95% CI = 4.79, 10.61), and households where the female head drank had significantly lower domestic violence compared to households where the male head drank (Adjusted PR = 0.12; 95% CI = 0.04, 0.33). Among households with two or more drinkers, households with one and two or more binge-drinkers had significantly higher prevalence of domestic violence compared to households with no binge-drinker (Adjusted PR = 2.86; 95% CI = 1.68, 4.86; and Adjusted PR = 4.62; 95% CI = 2.78, 7.67, respectively). Conclusions: Binge-drinking and household role of the drinker were associated with domestic violence at the household level. However, the study methods did not allow for disentangling of the stated associations, which limited the contribution of the study beyond its reported findings.",2020-05-20,Journal,Article,"Substance Abuse: Treatment, Prevention, and Policy",5800179601,3,15,Binge-drinking and household role's associations with prevalence of domestic violence: Findings from the Thailand smoking and drinking behaviour survey 2017,1,true,10.1186/s13011-020-00278-2,BioMed Central Ltd.info@biomedcentral.com,"Substance Abuse Treatment, Prevention, and Policy",2020.0,51.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Binge-drinking and household role of the drinker were associated with domestic violence at the household level, however, the study methods did not allow for disentangling of the stated associations, which limited the contribution of the study beyond its reported findings.'}",663,4220753,W. Wichaidit,6773868,S. Assanangkornchai,,,,,,,,,35.0,163.0,7.0,128.0,1726.0,21.0,,,,,,,,,,,,,"Geography, Medicine"
664,"© 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.Objective: Previous research has shown that experiences of racial discrimination and sexual objectification are associated with health risk behaviours among gay and bisexual men of colour. However, little is known about whether racial discrimination and sexual objectification are associated with alcohol use among this population. This community-based study examined the association between racial discrimination, sexual objectification and alcohol use in a sample of 369 gay and bisexual men of colour (Black/African/Caribbean, Latino/Latin American, South Asian, and East and Southeast Asian) in Toronto. Design: Data were drawn from an online survey designed to examine issues of racism, homophobia, health and well-being among gay and bisexual men of colour in Toronto. Regression analysis assessed the relationship between scores on the Racism and Life Experiences Scale, Sexual Objectification Scale, and the CAGE questionnaire (a screen for alcohol use disorder). Results: Multivariable logistic regression analyses revealed that experiences of racism and sexual objectification are significantly and positively associated with a screening for alcohol use disorder. The interactions between Latino/Latin American race/ethnicity and experience of sexual objectification were also positively associated with a screening for alcohol use disorder. Conclusions: Health professionals should consider the role of racial discrimination and sexual objectification within the context of risk and treatment for alcohol use disorders, harm reduction, and HIV prevention for gay and bisexual men of colour.",2020-05-18,Journal,Article,Ethnicity and Health,20720,24,25,"Experiences of racism, sexual objectification and alcohol use among gay and bisexual men of colour",0,false,10.1080/13557858.2018.1439895,Routledgeinfo@tandf.co.uk,Ethnicity and Health,2020.0,61.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Health professionals should consider the role of racial discrimination and sexual objectification within the context of risk and treatment for alcohol use disorders, harm reduction, and HIV prevention for gay and bisexual men of colour.'}",664,4588154,R. Souleymanov,29877694,D. Brennan,47737743,C. George,46717656,R. Utama,35476174,A. Ceranto,,,27.0,281.0,9.0,92.0,1992.0,26.0,33.0,517.0,14.0,2.0,24.0,1.0,5.0,33.0,3.0,,,,"Psychology, Medicine"
665,"© 2020 The Author(s).Background: Contextual variables such as staff characteristics, treatment programs, assessment routines and administrative structures are found to influence patient violence rates in psychiatric forensic wards. The possible effects of current developments in treatment philosophy emphasizing patientsˈ perspective and treatment involvement upon violence rate have not yet been examined. The aim of this paper is to analyse associations between such developments and the occurrence of violent incidents among patients in a high security forensic psychiatric ward. Methods: During a 17-year period with stable ward conditions, incidents of violence were systematically collected together with diagnostic, risk assessment and demographic patient characteristics. Changes in care- and organizational related variables such as nursing staff characteristics, treatment and management routines were collected. Multilevel modelling was applied to estimate the relationship between these variables and changes in violent incidents. Results: A substantial decline in the occurrence of violent incidents paralleled with changes in the ward during the middle phase of the study period. Most of the changes, such as implementation of new treatment and care routines and an increased proportion of female staff and higher education levels, were significantly related to a decrease in the occurrence of violent incidents in the ward. Conclusions: Findings in this study suggest that an increase in individualized, patient-oriented care strategies, delivered by well-educated nursing staff with an equally balanced gender distribution contribute to a low level of violence.",2020-05-05,Journal,Article,BMC Psychiatry,14260,6,20,Violence rate dropped during a shift to individualized patient-oriented care in a high security forensic psychiatric ward,1,true,10.1186/s12888-020-02524-0,BioMed Central Ltd,BMC Psychiatry,2020.0,89.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Findings in this study suggest that an increase in individualized, patient-oriented care strategies, delivered by well-educated nursing staff with an equally balanced gender distribution contribute to a low level of violence.'}",665,13116094,Ragnar Urheim,3864211,T. Palmstierna,40495337,Knut Rypdal,4681811,R. Gjestad,7538573,Mette Senneseth,5471737,A. Mykletun,8.0,70.0,5.0,107.0,3406.0,26.0,14.0,170.0,7.0,101.0,1731.0,21.0,17.0,115.0,7.0,229.0,17299.0,74.0,"Psychology, Medicine"
666,"© 2020 by the authors. Licensee MDPI, Basel, Switzerland.The aim of this paper is to examine aggressive behaviors among Romanian high school students between 15 and 16 years old, to compare data in two national representative samples and to identify factors associated with physical fighting. This study investigates the association of selected factors (social, school performance and substance use) with physical fighting. A total of 2289 Romanian students were included in the 2007 database and 2770 in the 2011 database. This study revealed that 35.87% of the teenagers have taken part in a physical fight during the previous 12 months, as compared with the European average of 31.5%. Romania has the highest prevalence of violent behavior by participating in a group bruising of an individual in both surveys, 2007 and 2011. A logistic regression analysis performed for the 2011 study revealed the following factors associated with physical fighting: binge drinking during the previous 30 days, male gender, serious problems with friends, parent(s) who do not know where and with whom the adolescents spend their evenings, poor parental caring, low school grades, and high truancy. A decrease in almost all aggressive behaviors was noticed in 2011, compared to 2007. These findings may be useful to support and guide policy makers regarding improvement and implementation of strategies to further prevent aggressive behaviors in teenagers.",2020-05-02,Journal,Article,International Journal of Environmental Research and Public Health,144989,7,17,Aggressive behaviors among 15–16-year-old romanian high school students: Results from two consecutive surveys related to alcohol and other drug use at the European level,1,true,10.3390/ijerph17103670,MDPI AGPostfachBaselCH-4005rasetti@mdpi.com,International Journal of Environmental Research and Public Health,2020.0,76.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'The association of selected factors (social, school performance and substance use) with physical fighting is investigated and a decrease in almost all aggressive behaviors was noticed in 2011, compared to 2007.'}",666,1720893922,A. Bucur,6068475,S. Ursoniu,1434926869,Constantin Caraion-Buzdea,152863453,V. Ciobanu,3833452,S. Florescu,39229957,C. Vlădescu,17.0,13.0,2.0,152.0,2855.0,28.0,6.0,14.0,3.0,7.0,6.0,1.0,169.0,14564.0,56.0,58.0,765.0,10.0,"Medicine, Psychology"
667,"© 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.This paper analyses the relationships between “race” and violent victimization, and between “race” and support for violent practices of social control in Brazil, using nationally representative survey data. I start from the premise that “race” is a set of relational practices rather than bounded “racial groups”. I operationalize this relational understanding of “race” methodologically by triangulating three measures of “race” – self-identified “census race”, interviewer-identified skin colour, and racial composition of the municipality – in conjunction with measures of class, gender and space. I find that whiter geographic spaces have lower overall levels of violent victimization, but that interviewer-identified darker-skinned individuals are disproportionately victimized in these whiter geographic spaces. Controlling for other variables, self-identified census race is not correlated with violent victimization. I find that public support for violent practices can best be understood by considering people’s simultaneous relationships to race, gender, class and spatial categories and hierarchies.",2020-05-02,Journal,Article,Ethnic and Racial Studies,26124,2,43,"Colour violence, deadly geographies, and the meanings of “race” in Brazil",0,false,10.1080/01419870.2019.1628287,Routledgeinfo@tandf.co.uk,Ethnic and Racial Studies,2020.0,95.0,0.0,,667,116482922,Luisa Farah Schwartzman,,,,,,,,,,,18.0,311.0,6.0,,,,,,,,,,,,,,,,Sociology
668,"© 2020 Spivak et al.Links between crystalline methamphetamine (CM) use and criminal offending are often drawn in the media; however, there has been little scientific research into this relationship. The aim of this study was to ascertain the prevalence and correlates of lifetime CM use among a sample of young people in detention in Australia and to examine whether an association exists between lifetime CM use and recidivism in this population.The sample included 202 young people (164 males) in youth detention in the state of Victoria, Australia. Participants were administered questionnaires related to lifetime substance use and socioenvironmental experiences. Lifetime mental health data and offending data were obtained for each participant from public mental health and policing databases. More than one third (38%) of the sample reported lifetime CM use. In multivariate logistic regression analyses, older age, male gender, polysubstance use, and high levels of community disorganisation were associated with CM use. The presence of a psychiatric diagnosis over the lifetime was not significantly associated with CM use. CM use was also not significantly associated with violent recidivism. Efforts to address CM use and related harm in detained youth should include community-based strategies to reduce CM use among this vulnerable population following their release from detention. However, the findings suggest that CM use on its own is unlikely to be an important consideration for professionals concerned with determining which young people should be selected for treatment designed to reduce the risk of violent recidivism.",2020-05-01,Journal,Article,PLoS ONE,10600153309,1,15,Crystalline methamphetamine (ice) use prior to youth detention: A forensic concern or a public health issue?,1,true,10.1371/journal.pone.0229389,Public Library of Scienceplos@plos.org,PLoS ONE,2020.0,80.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'The findings suggest that CM use on its own is unlikely to be an important consideration for professionals concerned with determining which young people should be selected for treatment designed to reduce the risk of violent recidivism.'}",668,37812182,B. Spivak,35133108,S. Shepherd,6260653,R. Borschmann,2188059,S. Kinner,145099304,J. Ogloff,98018707,H. Hachtel,39.0,191.0,7.0,89.0,989.0,18.0,189.0,23108.0,37.0,278.0,5480.0,39.0,215.0,4598.0,37.0,17.0,165.0,7.0,"Medicine, Psychology"
670,"© 2020 The Author(s).Background: Interpersonal violence has increased as a health concern, especially in psychiatry practice, over the last decades. Nevertheless, most patients with stable mental disorders do not present an increased risk of violence, and mental disorder is not a necessary or sufficient cause of violent behaviours. People with mental disorders endorse more often a number of risk factors for violence that could confound this association, such as young age and male gender. The aim of this study was to investigate the effect of age, gender, and diagnosis on reported levels of interpersonal violence in a sample of people with severe mental illness. Methods: The sample was composed of 160 inpatients: 73 with a psychosis within the schizophrenia spectrum, 53 with a mood disorder and 34 with a personality disorder. All patients enrolled in the study were assessed for experiences of victimization and perpetration of interpersonal violence using the Karolinska Interpersonal Violence Scale interview. Demographic variables were also collected. Results: Both violence perpetration and victimization negatively correlated with age. Compared to males, females were exposed to higher degree of victimization in childhood and adulthood, whereas males were more involved in the perpetration of violence in childhood. Personality disorders were associated with higher levels of interpersonal violence, both perpetration and victimization; an interaction effect of gender and diagnosis was also observed for violence perpetration in adulthood. Distinct patterns of interpersonal violence did emerge for the diagnostic groups with mood disorder showing a victimization pattern, personality disorders a perpetration pattern and psychoses less defined patterns. Conclusions: The main finding is that psychotic disorders, mood disorders and personality disorders have different patterns of violent experiences interacting with age and gender. This study offers a better understanding of how gender and age could affect violent behaviours. Moreover, study findings may increase the comprehension of the reason why some mental disorders, compared to others, are more associated with the risk of victimization or perpetration of violence. These patterns could have pathophysiological or pathoplastic meaning addressing clinical and diagnostic trajectories and they could interact with other intervening risk factors.",2020-05-01,Journal,Article,BMC Psychiatry,14260,4,20,Cues for different diagnostic patterns of interpersonal violence in a psychiatric sample: An observational study,1,true,10.1186/s12888-020-02594-0,BioMed Central Ltd.info@biomedcentral.com,BMC Psychiatry,2019.0,60.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'It is found that psychotic disorders, mood disorders and personality disorders have different patterns of violent experiences interacting with age and gender, which may increase the comprehension of the reason why some mental disorders are more associated with the risk of victimization or perpetration of violence.'}",670,40085820,D. Talevi,3640133,A. Collazzoni,35774373,A. Rossi,49530223,P. Stratta,40573181,M. Mazza,6359167,F. Pacitti,28.0,1451.0,9.0,34.0,338.0,12.0,332.0,8991.0,51.0,224.0,4868.0,42.0,141.0,3115.0,32.0,91.0,2943.0,19.0,"Psychology, Medicine"
671,"© 2020, The Author(s).Objectives: To stem the HIV epidemic among adolescent girls and young women (AGYW, 15–24 years), prevention programs need to reach AGYW who are most at risk. We examine whether individual- and household-level factors could be used to define HIV vulnerability for AGYW. Methods: We surveyed out-of-school AGYW in urban and peri-urban Kenya (N = 1014), in urban Zambia (N = 846), and in rural Malawi (N = 1654) from October 2016 to 2017. LCA identified classes based on respondent characteristics, attitudes and knowledge, and household characteristics. Multilevel regressions examined associations between class membership and HIV-related health outcomes. Results: We identified two latent classes—high and low HIV vulnerability profiles—among AGYW in each country; 32% of the sample in Kenya, 53% in Malawi, and 51% in Zambia belonged to the high vulnerability group. As compared to AGYW with a low-vulnerability profile, AGYW with a high-vulnerability profile had significantly higher odds of HIV-related outcomes (e.g., very early sexual debut, transactional sex, sexual violence from partners). Conclusions: Out-of-school AGYW had differential vulnerability to HIV. Interventions should focus on reaching AGYW in the high HIV vulnerability profiles.",2020-05-01,Journal,Article,International Journal of Public Health,5300152615,16,65,HIV vulnerability among adolescent girls and young women: a multi-country latent class analysis approach,1,true,10.1007/s00038-020-01350-1,Springer,International Journal of Public Health,2020.0,44.0,1.0,"{'model': 'tldr@v2.0.0', 'text': 'Out-of-school AGYW with a high-vulnerability profile had significantly higher odds of HIV-related outcomes (e.g., very early sexual debut, transactional sex, sexual violence from partners) and interventions should focus on reaching AGyW in the high HIV vulnerability profiles.'}",671,2332832,S. Mathur,3062309,N. Pilgrim,5219943,S. K. Patel,3585480,J. Okal,4345197,V. Mwapasa,5694986,E. Chipeta,80.0,1447.0,17.0,43.0,681.0,15.0,64.0,8868.0,18.0,69.0,1419.0,23.0,161.0,3845.0,36.0,49.0,814.0,15.0,"Medicine, Psychology"
672,,2020-05-01,Journal,Letter,Gaceta Sanitaria,60803,0,34,"The streets, the nights, are ours too? Las calles, las noches, ¿también son nuestras?",1,true,10.1016/j.gaceta.2019.08.006,"Ediciones Doyma, S.L.",,2020.0,4.0,0.0,,672,65914039,B. Obón-Azuara,66172469,I. Gutiérrez-cía,2125884873,Cynthia Vergara Maldonado,101177199,Á. Gasch-Gallén,,,,,18.0,51.0,3.0,20.0,45.0,2.0,4.0,2.0,1.0,20.0,24.0,3.0,,,,,,,Sociology
673,"© 2020Background: Adverse childhood experiences, especially maltreatment, are regarded as significant risk factors for the development of antisocial behavior in adolescence. However, possible correlates are still to be investigated after considering the history of criminal records and the experience of institutionalization. Objective: In this study, differences in attachment anxiety and avoidance, and reflective functioning (RF) between traumatized incarcerated juvenile offenders and non-delinquent adolescents institutionalized in child services because of domestic violence were examined. Participants, setting and method: Forty-two juvenile offenders (Nfemale = 19) and 43 inmates of institutions for adolescents without parental care (Nfemale = 20) with the history of trauma filled in the childhood trauma and attachment dimensions questionnaires, and were scored on the Reflective Functioning Scale. Groups were matched on age and education. Results: Results indicate that both groups reported equally high levels of attachment anxiety and avoidance. Male juvenile offenders had lower scores on reflective functioning than both female convicted minors (B = 1.06; Odds Ratio = 2.88; Nagelkerkes R2 = 45) and non-delinquent adolescents of both genders (B = −.65; Odds Ratio = .52; Nagelkerkes R2 = 42). In comparison to non-convicted males, male offenders also had higher scores on the control scale of idealization (B = .35; Odds Ratio = 1.42; Nagelkerkes R2 = 42). No differences between females with and without a history of crimes were found. Conclusions: Results indicate a need for building RF in both traumatized samples, especially in male delinquents, and encourage further research in females.",2020-05-01,Journal,Article,Child Abuse and Neglect,24451,5,103,Differences in attachment dimensions and reflective functioning between traumatized juvenile offenders and maltreated non-delinquent adolescents from care services,0,false,10.1016/j.chiabu.2020.104420,Elsevier Ltd,International Journal of Child Abuse & Neglect,2020.0,41.0,1.0,"{'model': 'tldr@v2.0.0', 'text': 'A need for building RF in both traumatized samples, especially in male delinquents, is indicated, and further research in females is encouraged.'}",673,49356434,Sonja Protić,1991688,L. Wittmann,48983947,S. Taubner,50151670,Aleksandar Dimitrijević,,,,,17.0,26.0,3.0,67.0,2415.0,24.0,121.0,1445.0,20.0,55.0,218.0,8.0,,,,,,,"Medicine, Psychology"
674,"© The Author(s) 2020.Purpose: Sexual and gender minority (SGM) youth face risks for negative sexual and reproductive health (SRH) outcomes; it is critical to provide these populations with health education that is both inclusive of and specific to their needs. We sought to characterize the strengths and weaknesses of SGM-related messages from web sites that address SRH for young people. We considered who is included, what topics are discussed, and how messages are framed. Methods: A systematic Google search and screening process was used to identify health promotion web sites with SRH content for adolescents and young adults. Using MAXQDA, we thematically coded and analyzed SGM content qualitatively. Results: Of 32 SRH web sites identified, 23 (71.9%) contained SGM content. Collectively, the sites included 318 unique SGM codes flagging this content. Approximately two-thirds of codes included messages that discussed SGM youth in aggregate (eg, lesbian, gay, bisexual, and transgender)—specific content about the diverse subpopulations within this umbrella term (eg, transgender youth) was more limited. In addition to SRH topics, most web sites had messages that addressed a broad array of other health issues including violence, mental health, and substance use (n = 17, 73.9%) and SGM-specific topics, for example coming out (n = 21, 91.3%). The former were often risk-framed, yet affirmational messages were common. Most web sites (n = 16; 69.6%) presented information for SGM youth both in stand-alone sections and integrated into broader content. Yet, integrated information was slightly more common (56.6% of all codes) than stand-alone content. Conclusions: Challenges of developing SRH content related to SGM youth include: (1) aggregate terms, which may not represent the nuances of sexual orientation and gender, (2) balancing risk versus affirmational messages, and (3) balancing stand-alone versus integrated content. However, SGM-related content also offers an opportunity to address diverse topics that can help meet the needs of these populations.",2020-05-01,Journal,Article,American Journal of Health Promotion,27620,2,34,Sexual and Reproductive Health Web Sites: An Analysis of Content for Sexual and Gender Minority Youth,2,,10.1177/0890117119899217,SAGE Publications Inc.,American Journal of Health Promotion,2020.0,31.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Challenges of developing SRH content related to SGM youth include: (1) aggregate terms, which may not represent the nuances of sexual orientation and gender, (2) balancing risk versus affirmational messages, and (3) balancing stand-alone versus integrated content.'}",674,30837795,J. Andrzejewski,6196259,C. Rasberry,3396698,B. Mustanski,32663714,R. Steiner,,,,,25.0,524.0,8.0,70.0,1883.0,18.0,482.0,17202.0,69.0,86.0,938.0,16.0,,,,,,,"Medicine, Psychology"
675,"© 2019, Springer Nature B.V.Medicine is a gendered discipline, in which women, both as patients and practitioners, have often held subordinate positions. The reproduction of dominant gender biases in the medical setting can negatively impact the professional development of medical students and the wellbeing of patients. In this analysis of medical students’ narratives of professionalism dilemmas, we explore students’ experiences of gender bias in hospital settings. Seventy-one students participated in 12 group interviews, where they discussed witnessing or participating in various activities that they thought were professionalism lapses. Within the dataset, 21 narratives had a distinctly gendered component broadly pertaining to patient dignity and safety dilemmas, informed consent issues, and female student abuse. Interestingly, perpetrators of such acts were commonly female healthcare professionals and educators. Although students recognized such acts as professionalism lapses and often expressed concern for patient wellbeing, students did not intervene or report such acts due to hierarchical cultural contexts, and at times even reproduced the discriminatory behavior they were criticizing. This raises concerns about medical students’ professionalism development and the extent to which gender bias is ingrained within particular medical systems. The normalization of disrespectful and abusive treatment of female patients poses immediate and future consequences to the wellbeing and safety of women. Furthermore, the same socio-cultural values that sustain these acts may account for perpetrators often being women themselves as they strive to overcome their subordinate position within medicine.",2020-05-01,Journal,Article,Advances in Health Sciences Education,26913,5,25,Female victims and female perpetrators: medical students’ narratives of gender dynamics and professionalism dilemmas,0,false,10.1007/s10459-019-09919-z,Springereditorial@springerplus.com,Advances in Health Sciences Education,2019.0,76.0,0.0,,675,23488093,M. Shaw,10151452,M. Chandratilake,2268652,M. Ho,1819668,C. Rees,4711426,L. Monrouxe,,,17.0,63.0,4.0,76.0,825.0,16.0,68.0,1227.0,18.0,213.0,6856.0,47.0,128.0,3747.0,32.0,,,,
676,"© 2019Combat veterans are at elevated suicide risk. The goal of this study was to test the hypothesis that combat veterans who have made a suicide attempt post-deployment can be distinguished from combat veterans who have never made a suicide attempt based on differences in psychological and biological variables. For the latter, we focused on endogenous cannabinoids, neuroendocrine markers that are associated with stress. Demographic and clinical parameters of suicide attempters and non-attempters were assessed. Blood samples were assayed for anandamide (AEA), 2-arachidonoylglycerol (2-AG), and cortisol. Suicide attempters had higher Scale for Suicidal Ideation (SSI) scores in comparison to non-attempters. Controlling for gender, 2-AG levels were higher among suicide attempters in comparison to non-attempters. Cortisol levels positively correlated with 2-AG levels and negatively correlated with SSI scores among non-attempters but not among attempters. AEA levels negatively correlated with SSI scores among attempters but not among non-attempters. Our results indicate that there are psychological and biological differences between combat veterans with or without a history of suicidal attempt. Our findings also suggest that clinically observed differences between the groups may have a neurobiological basis.",2020-05-01,Journal,Article,Psychiatry Research,18729,10,287,Endogenous cannabinoid levels and suicidality in combat veterans,0,false,10.1016/j.psychres.2019.112495,Elsevier Ireland Ltd,Psychiatry Research,2020.0,74.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'The results indicate that there are psychological and biological differences between combat veterans with or without a history of suicidal attempt and suggest that clinically observed differences between the groups may have a neurobiological basis.'}",676,143878050,L. Sher,82808042,L. Bierer,1908366,J. Flory,145782955,M. Hill,6540640,I. Makotkine,5133858,R. Yehuda,509.0,12071.0,53.0,133.0,9335.0,43.0,201.0,12637.0,62.0,188.0,11708.0,60.0,54.0,2575.0,25.0,537.0,42346.0,110.0,Medicine
677,"© 2020 The Author(s).Background: Men's perpetration of intimate partner violence (IPV) limits gains in health and wellbeing for populations globally. Largely informal, rapidly expanding peri-urban settlements, with limited basic services such as electricity, have high prevalence rates of IPV. Evidence on how to reduce men's perpetration, change social norms and patriarchal attitudes within these settings is limited. Our cluster randomised controlled trial aimed to determine the effectiveness of the Sonke CHANGE intervention in reducing use of sexual and/or physical IPV and severity of perpetration by men aged 18-40 years over 2 years. Methodology: The theory-based intervention delivered activities to bolster community action, including door-to-door discussions, workshops, drawing on the CHANGE curriculum, and deploying community action teams over 18 months. In 2016 and 2018, we collected data from a cohort of men, recruited from 18 clusters; nine were randomised to receive the intervention, while the nine control clusters received no intervention. A self-administered questionnaire, using audio-computer assisted software, asked about sociodemographics, gender attitudes, mental health, and the use and severity of IPV. We conducted an intention-to-treat analysis at the cluster level comparing the expected risk to observed risk of using IPV while controlling for baseline characteristics. A secondary analysis used latent classes (LCA) of men to see whether there were differential effects of the intervention for subgroups of men. Results: Of 2406 men recruited, 1458 (63%) were followed to 2 years. Overall, we saw a reduction in men's reports of physical, sexual and severe IPV from baseline to endpoint (40.2% to 25.4%, 31.8% to 15.8%, and 33.4% to 18.2%, respectively). Intention-to-treat analysis showed no measurable differences between intervention and control clusters for primary IPV outcomes. Difference in the cluster-level proportion of physical IPV perpetration was 0.002 (95% confidence interval [CI] - 0.07 to 0.08). Similarly, differences between arms for sexual IPV was 0.01 (95% CI - 0.04 to 0.06), while severe IPV followed a similar pattern (Diff = 0.01; 95% CI - 0.05 to 0.07). A secondary analysis using LCA suggests that among the men living in intervention communities, there was a greater reduction in IPV among less violent and more law abiding men than among more highly violent men, although the differences did not reach statistical significance. Conclusion: The intervention, when implemented in a peri-urban settlement, had limited effect in reducing IPV perpetrated by male residents. Further analysis showed it was unable to transform entrenched gender attitudes and use of IPV by those men who use the most violence, but the intervention showed promise for men who use violence less. Trial registration: ClinicalTrials.gov, NCT02823288. Registered on 30 June 2016.",2020-04-25,Journal,Article,Trials,4700151726,14,21,Effectiveness of a multi-level intervention to reduce men's perpetration of intimate partner violence: A cluster randomised controlled trial,1,true,10.1186/s13063-020-4185-7,BioMed Central Ltd,Trials,2020.0,52.0,2.0,"{'model': 'tldr@v2.0.0', 'text': 'The Sonke CHANGE intervention, when implemented in a peri-urban settlement, had limited effect in reducing IPV perpetrated by male residents and was unable to transform entrenched gender attitudes and use of IPV by those men who use the most violence.'}",677,6191907,N. Christofides,39304024,A. Hatcher,7258581,D. Rebombo,49798211,Ruari-Santiago McBride,82032171,Shehnaz Munshi,40790258,Angelica Pino,94.0,1776.0,22.0,104.0,2823.0,28.0,22.0,317.0,10.0,23.0,257.0,10.0,7.0,108.0,4.0,6.0,45.0,3.0,Medicine
678,"© 2020 by the authors. Licensee MDPI, Basel, Switzerland.The aim of this research was to know the factors associated with teen dating violence and victimization because violence in teenagers’ relationships is increasing in recent years, constituting a serious social problem. For this purpose, we analyzed teen dating violence and explored the variables (sexist attitudes, personal adjustment, clinical maladjustment, and resilience) related to teen dating violence and victimization using multinomial logistic models. The sample was composed of 268 school teenagers aged 12 to 17 from the Basque Country (Spain). Results showed that sex, age, sexism, and self-esteem predicted teen dating violence and that sex and social problems predicted victimization. Associations between the wide range of variables and types of perpetration and victimization (verbal-emotional, relational, and physical) were also explored. These results could be taken into consideration for future prevention programs.",2020-04-02,Journal,Article,International Journal of Environmental Research and Public Health,144989,27,17,"Teen dating violence, sexism, and resilience: a multivariate analysis",1,true,10.3390/ijerph17082652,MDPI AGPostfachBaselCH-4005rasetti@mdpi.com,International Journal of Environmental Research and Public Health,2020.0,87.0,3.0,"{'model': 'tldr@v2.0.0', 'text': 'Results showed that sex, age, sexism, and self-esteem predicted teen dating violence and that sex and social problems predicted victimization.'}",678,1637456207,María Dosil,8583221,J. Jaureguizar,6595050,E. Bernaras,6658987,J. B. Sbicigo,,,,,7.0,85.0,4.0,32.0,717.0,13.0,20.0,352.0,10.0,20.0,146.0,5.0,,,,,,,"Medicine, Psychology"
679,"© Servicio de Publicaciones-Universidad de Murcia.Objective: To examine intimate partner violence in relation to culture, age and educational level of those involved. Methodology: A descriptive cross-sectional study involving a sample of 130 subjects, randomly selected through non-probabilistic sampling by quotas, in Spain and Peru (53 men and 77 women). An evaluation of violent intimate partner relationships was undertaken using a tool known as the ""Traffic Light of Gender Violence"". Results: Significant association was found between countries and the items related to the control of dress and outings, punishment by indifference, jealousy, overprotection and control by means of the mobile phone. On the other hand, formal education generates a decrease in gender violence suffered in women. With regard to age, males between 25 and 30 years of age show a significant increase in verbal violence and sexual coercion. Conclusion: Cultural and traditional rules can affect intimate partner violence. Therefore, they should be considered when educating for equality in order to elaborate new social constructs, focusing particularly on women with low levels of formal education (because they are more vulnerable to gender violence) and on men of the age group that tends to use it more.",2020-04-01,Journal,Article,Enfermeria Global,21100202145,0,19,Study of cultural differences in violent intimate partner relationships in Spain and Peru,1,true,10.6018/eglobal.364641,"Universidad de Murcia Servicio de PublicacionesC/ Actor Isidoro Maiquez, 9.Murcia30007",,2020.0,0.0,0.0,,679,2127501834,Juan Francisco Rubio Laborda,2127472365,Pilar Almansa Martínez,2127499261,José Vicente Navarro Henarejos,2126254128,María del Mar Pastor Bravo,,,,,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,Psychology
